ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (atm),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.5314,4.0763,8.4927,4.9112,3.5406,7.7146,1.0062,0.3086,-0.6588,-0.2643,-0.1809,0.0723,41.7817,-44.55,-14.25,-49.35,59.35,-23.68,-24.05,5.0,0.97816,38.105,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,10,2018-03-12 16:21:18:904
2.2753,3.3147,7.4629,2.5951,2.6831,9.0685,2.4721,0.7482,-0.5978,0.0318,2.478,0.3376,40.505,-34.2,-8.55,-54.6,36.67,-21.48,-21.81,5.0,0.97816,38.492,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,510,2018-03-12 16:21:19:404
1.4466,4.2248,9.2927,1.2566,3.275,9.1578,-0.0087,1.1015,-0.6338,0.1351,0.5089,0.0846,30.8366,-19.8,-10.35,-58.5,40.5,-17.1,-11.93,5.0,0.97818,38.467,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,1013,2018-03-12 16:21:19:907
2.0501,3.4776,8.6939,-0.4079,3.9825,8.9523,0.7019,1.2277,1.8362,0.631,-0.2618,0.6199,29.4763,-8.1,-17.4,-59.1,66.5,-17.89,-3.17,5.0,0.97818,37.933,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,1510,2018-03-12 16:21:20:404
-0.388,5.6427,7.6257,-0.2009,5.2729,8.266,-0.6443,0.4323,-0.6595,0.0249,-0.3753,-0.2158,27.9001,-11.85,-25.95,-54.45,61.31,-31.07,-1.57,5.0,0.97817,44.891,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,2010,2018-03-12 16:21:20:904
1.4466,3.9566,8.7083,0.6444,4.3841,8.7484,0.3175,-1.0897,-1.3626,-0.2302,0.7448,-0.4321,23.7241,-19.05,-20.4,-53.7,42.54,-28.88,-10.35,5.0,0.97817,47.132,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,2510,2018-03-12 16:21:21:404
-11.6685,3.9709,5.681,-8.5262,-0.3353,4.8333,-5.0047,3.1386,1.0142,-1.2838,0.6969,-1.2555,13.2455,37.95,-6.9,-36.45,18.79,-31.08,54.31,0.0,0.97818,40.195,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,3010,2018-03-12 16:21:21:904
-9.2831,-1.7627,2.5723,-7.408,-2.5814,5.8845,-2.6677,-1.2963,2.1228,0.459,0.1621,-1.4361,47.2114,26.1,8.1,-37.35,72.52,3.11,58.87,0.0,0.9782,44.346,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,3510,2018-03-12 16:21:22:404
-6.4043,0.7808,6.5767,-8.5036,-0.3241,4.8739,2.0683,1.0717,1.7155,-0.8188,5.9412,3.7794,14.3993,22.2,12.15,-34.65,263.11,17.12,25.12,0.0,0.9782,42.763,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,4010,2018-03-12 16:21:22:904
-6.8162,-4.6511,3.4057,-6.9455,-3.6437,5.8868,2.6529,-2.856,-1.3858,-0.0151,-0.9426,-3.7871,11.6694,18.3,31.95,-22.5,14.91,21.81,49.72,0.0,0.9782,58.966,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,4510,2018-03-12 16:21:23:404
-6.16,-8.967,0.2922,-8.94,-3.7719,1.4211,-3.0092,-1.3431,-1.0338,-1.4734,1.5251,3.6596,3.5238,25.35,31.65,5.7,334.23,22.62,80.97,0.0,0.97821,45.446,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,5011,2018-03-12 16:21:23:905
-9.8771,-0.0958,-2.2226,-9.7612,-0.8832,0.3297,-7.0127,1.7295,2.6097,-1.2694,-0.7183,-1.8505,13.9652,30.45,21.9,11.85,336.21,-12.67,89.32,0.0,0.97822,52.867,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,5510,2018-03-12 16:21:24:404
-5.5804,-6.9168,-1.3077,-6.6783,-7.1405,0.7641,0.8116,1.8202,-2.5998,-0.8838,-1.3415,-1.2625,1.4183,10.65,44.25,14.25,327.39,46.0,80.36,0.0,0.97821,63.565,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,6011,2018-03-12 16:21:24:905
-4.0093,-11.041,2.3902,-2.0124,-9.5941,0.2725,-1.5256,-1.5745,3.0492,-1.4356,-1.1828,-1.8936,0.0,-4.2,54.6,16.95,343.9,66.07,48.9,0.0,0.9782,56.723,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,6511,2018-03-12 16:21:25:405
-0.5556,-10.4279,-1.4801,1.4688,-9.6515,0.9279,-0.4587,-0.9455,-4.7518,1.0822,1.0356,0.7733,0.0,-28.35,60.6,4.5,221.37,83.36,-131.85,0.0,0.97822,50.912,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,7010,2018-03-12 16:21:25:904
3.3961,-9.6471,1.4466,0.3266,-9.7179,1.2755,1.3484,-0.4943,0.0164,2.0537,1.8474,-4.7049,0.0,-17.25,52.2,-9.0,29.22,79.57,75.2,0.0,0.97821,54.282,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,7510,2018-03-12 16:21:26:404
1.8729,-9.7381,0.1581,2.5971,-9.3594,-1.3517,-0.8242,-1.494,5.059,0.0963,0.4311,-0.162,0.0,-31.35,38.85,-0.6,214.88,72.99,-109.51,0.0,0.97822,55.834,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,8010,2018-03-12 16:21:26:904
-0.297,-12.0134,4.608,1.0927,-9.6758,1.1646,-1.8698,-2.0778,3.4363,0.3168,0.4023,-0.2574,0.0,-25.2,28.2,-2.4,106.05,80.25,-22.32,0.0,0.97824,49.902,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,8510,2018-03-12 16:21:27:404
1.6765,-8.9813,1.6669,2.1701,-9.5476,-0.5515,-0.4869,0.566,2.2227,-0.1988,-0.5298,-0.1562,0.0,-30.45,30.6,12.15,127.62,79.06,-68.32,0.0,0.97822,45.545,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,9011,2018-03-12 16:21:27:905
1.7196,-8.5598,-0.1198,0.0583,-9.422,2.7192,1.571,0.7809,-2.9299,0.4137,0.5446,-0.0726,0.0,-23.1,43.5,13.05,85.47,77.73,-46.0,0.0,0.97823,50.624,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,9510,2018-03-12 16:21:28:404
3.2045,-7.8892,0.752,1.4823,-9.5825,1.4659,1.5704,1.2995,-0.0661,-0.4444,-1.0358,-0.6856,0.0,-23.85,45.6,17.55,43.03,75.62,-4.29,0.0,0.97822,50.877,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,10011,2018-03-12 16:21:28:905
1.8825,-8.3107,0.2491,0.8911,-9.65,1.5016,4.1444,-2.313,-3.8678,0.9937,0.282,0.8356,0.0,-15.9,47.25,24.6,101.6,80.01,-85.0,0.0,0.97822,48.064,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,10510,2018-03-12 16:21:29:404
-0.6035,-11.75,2.3902,-0.209,-9.5882,2.0477,-3.6237,0.3108,1.2032,0.5229,1.6141,0.3333,0.0,-16.65,53.55,8.7,36.3,77.88,5.83,0.0,0.97823,48.31,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,11011,2018-03-12 16:21:29:905
2.2944,-9.3597,1.71,1.1222,-9.7403,0.1912,-0.0689,0.088,0.7566,-0.1163,1.1203,-0.3927,0.0,-28.35,46.35,9.3,135.08,86.44,-66.89,0.0,0.97822,40.731,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,11511,2018-03-12 16:21:30:405
4.2727,-9.1059,0.9293,1.3084,-9.7056,-0.5105,1.2998,0.2575,1.3644,-0.4034,0.6186,-0.0219,0.0,-32.7,48.3,1.35,188.79,83.15,-98.95,0.0,0.97823,40.879,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,12010,2018-03-12 16:21:30:904
1.8346,-10.5908,-0.3066,0.9755,-9.728,0.7645,-1.5514,0.2164,-1.568,0.3146,0.1088,0.6971,0.0,-34.05,46.5,1.8,176.34,78.63,-90.77,0.0,0.97823,40.949,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,12510,2018-03-12 16:21:31:404
1.2023,-9.6088,0.7616,0.772,-9.7687,0.3828,0.2809,0.0175,0.3483,-0.1035,0.0305,-0.0384,0.0,-30.6,49.35,-1.5,151.59,84.96,-63.63,0.0,0.97823,52.55,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,13010,2018-03-12 16:21:31:904
-0.1054,-9.628,1.0107,0.3731,-9.774,0.7066,-0.5484,0.1383,0.3496,0.0014,0.2345,-0.0667,0.0,-27.6,49.8,-2.1,114.22,85.33,-27.83,0.0,0.97825,41.231,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,13511,2018-03-12 16:21:32:405
0.3449,-9.4699,1.0778,0.2647,-9.7691,0.816,0.0673,0.2991,0.2648,-0.0167,0.2084,-0.137,0.0,-26.4,51.45,-3.9,97.53,85.09,-8.33,0.0,0.97824,44.635,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,14010,2018-03-12 16:21:32:904
2.8501,-8.2293,0.206,1.5893,-9.6451,0.7852,1.0412,1.3058,-0.4279,0.0408,-0.5916,-0.7373,0.0,-29.7,49.5,-1.2,126.35,84.38,-42.15,0.0,0.97823,41.446,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,14510,2018-03-12 16:21:33:404
0.7472,-9.4172,0.9245,2.8639,-9.3328,-0.9307,-3.2596,0.1692,1.9371,0.0712,-0.8638,0.3589,0.0,-40.2,45.9,10.65,160.18,72.79,-92.8,0.0,0.97824,47.863,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,15011,2018-03-12 16:21:33:905
-1.3987,-9.216,1.8921,0.8983,-9.6147,1.7091,-1.3485,0.1075,-0.3893,-0.4678,1.6801,-0.4251,0.0,-28.35,49.5,-1.65,121.04,78.41,-45.62,0.0,0.97824,44.047,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,15510,2018-03-12 16:21:34:404
2.0262,-9.2591,2.1603,1.3892,-9.6904,0.5794,1.1313,1.8387,1.7859,-0.422,1.7445,-0.349,0.0,-27.0,52.65,-15.9,140.61,81.58,-29.33,0.0,0.97825,42.559,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,16010,2018-03-12 16:21:34:904
3.9374,-9.3166,1.37,1.9889,-9.5926,0.4429,1.595,0.5885,0.973,-0.2185,1.7679,0.1321,0.0,-15.45,55.35,-13.05,245.46,78.13,-82.21,0.0,0.97823,40.876,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,16511,2018-03-12 16:21:35:405
1.6142,-10.1022,-0.4646,1.1842,-9.6657,1.1583,0.0646,-0.7282,-1.3722,-0.2728,0.4385,-0.0511,0.0,-7.05,58.2,-13.95,261.56,79.3,-64.18,0.0,0.97824,41.077,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,17010,2018-03-12 16:21:35:904
0.8766,-9.4699,0.8239,1.0295,-9.7249,0.7328,-0.107,0.2691,0.1943,-0.1258,-0.075,-0.0367,0.0,-5.4,60.0,-12.6,237.26,81.71,-46.24,0.0,0.97825,43.151,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,17510,2018-03-12 16:21:36:404
0.7472,-9.7525,0.5748,1.1456,-9.7273,0.4872,-0.3541,-0.0107,0.0902,0.0079,0.0033,-0.0554,0.0,-6.15,60.15,-11.25,251.43,82.93,-65.69,0.0,0.97825,44.425,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,18010,2018-03-12 16:21:36:904
1.4658,-9.604,0.57,1.3923,-9.6818,0.703,0.0471,0.066,-0.143,-0.0017,0.3777,0.0117,0.0,-6.45,59.25,-9.75,267.91,81.08,-66.31,0.0,0.97824,41.191,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,18510,2018-03-12 16:21:37:404
0.2874,-9.8148,1.0394,0.9754,-9.7033,1.0316,-0.1157,-0.2368,-0.0944,0.116,-0.2534,0.0767,0.0,-3.9,60.3,-13.5,238.6,81.68,-43.4,0.0,0.97825,37.513,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,19011,2018-03-12 16:21:37:905
1.9495,-9.1442,0.0192,1.2542,-9.7166,0.4293,0.3884,-0.2465,0.0237,-0.1577,-1.0433,-0.073,0.0,-7.2,59.7,-8.85,257.9,82.23,-71.11,0.0,0.97827,58.373,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,19511,2018-03-12 16:21:38:405
-0.7712,-9.628,0.0048,2.2689,-9.5341,0.3511,-1.4382,-2.5121,-1.5518,0.5288,-1.8002,0.2099,0.0,-20.1,58.35,-12.9,232.29,76.46,-81.2,0.0,0.97826,55.806,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,20010,2018-03-12 16:21:38:904
1.8825,-9.786,2.0837,3.0248,-9.3215,-0.3612,-0.6831,-0.2322,2.2314,0.0537,-2.197,-0.0271,0.0,-33.9,55.35,-6.6,217.69,71.9,-96.81,0.0,0.97825,44.098,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,20510,2018-03-12 16:21:39:404
-1.2119,-5.9684,2.7207,1.3688,-9.5807,1.5834,-0.8913,-3.5272,-9.6808,0.5086,-0.4047,1.2235,0.0,-29.7,49.8,-15.9,148.96,77.68,-40.84,0.0,0.97824,51.157,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,21010,2018-03-12 16:21:39:904
4.2631,-7.5587,2.807,1.1049,-9.6922,1.005,0.9125,2.238,0.653,-0.2435,-0.7525,-0.5129,0.0,-22.8,56.1,-18.0,106.54,78.0,-1.8,0.0,0.97821,46.475,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,21510,2018-03-12 16:21:40:404
-0.4455,-8.4113,1.1831,0.8581,-9.7315,0.8555,6.776,-8.7755,-3.3654,0.4979,0.4022,0.2019,0.0,-19.2,70.05,-24.45,189.45,82.9,-45.09,0.0,0.97822,45.409,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,22012,2018-03-12 16:21:40:906
2.0214,-10.4135,0.7951,-0.5232,-9.5619,2.1135,1.5515,-1.5974,-0.6011,0.1096,-0.3712,0.1987,0.0,4.5,60.75,-34.05,170.49,77.17,13.9,0.0,0.97823,45.056,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,22510,2018-03-12 16:21:41:404
1.5137,-10.1261,0.6275,0.5966,-9.7829,-0.3319,0.3889,-0.3032,3.7274,0.2401,0.5162,-0.3664,0.0,-7.05,61.35,-25.35,292.13,86.01,-119.09,0.0,0.97822,45.504,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,23011,2018-03-12 16:21:41:905
-3.3866,-10.6147,3.8368,-0.2801,-9.6526,1.7084,-2.0339,0.6957,0.22,-0.1471,0.2179,-0.319,0.0,13.05,42.15,-39.15,191.33,79.83,9.31,0.0,0.97825,50.104,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,23510,2018-03-12 16:21:42:404
0.8239,-8.7801,1.5855,0.7517,-9.6996,1.2343,1.3534,1.6917,-1.2083,-0.2659,-0.8804,-0.0948,0.0,-3.45,32.85,-38.1,210.87,81.53,-31.34,0.0,0.97822,45.297,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,24010,2018-03-12 16:21:42:904
2.0118,-6.8689,1.5616,-0.5951,-9.5386,2.1979,2.527,2.1877,-0.9948,1.2255,0.5449,0.399,0.0,-8.55,7.5,-26.1,193.63,79.83,-31.82,0.0,0.97825,53.399,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,24510,2018-03-12 16:21:43:404
7.779,-4.632,-6.0211,-0.0069,-9.6606,1.6862,6.8059,4.4319,-6.3206,-0.8033,-0.0932,-0.0042,0.0,-9.3,8.1,-16.2,147.95,78.72,-0.41,0.0,0.97827,44.315,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,25010,2018-03-12 16:21:43:904
-4.723,-6.0019,-3.262,0.7554,-9.5892,1.9097,-3.2822,-0.872,-9.8103,-0.5983,0.9876,1.1532,0.0,-13.05,14.25,-6.9,223.43,83.18,-100.47,0.0,0.97824,47.698,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,25510,2018-03-12 16:21:44:404
7.5395,-5.9588,-5.2403,-0.0846,-9.5857,2.0683,6.5522,-7.1375,-6.4539,-0.9391,0.2669,0.0682,0.0,-13.95,19.65,-3.45,92.84,79.49,-5.79,0.0,0.97821,46.421,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,26010,2018-03-12 16:21:44:904
2.2513,-10.5333,0.843,1.2306,-9.7252,-0.2751,-0.836,1.5304,0.9259,0.2779,0.2749,-0.4868,0.0,-18.0,25.95,5.1,173.32,82.86,-100.05,0.0,0.97822,50.062,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,26510,2018-03-12 16:21:45:404
-2.8213,-10.4662,5.1541,-0.1902,-9.5421,2.2546,-0.8042,-3.5384,-0.5227,0.4228,0.3766,-0.2141,0.0,-13.35,34.5,-6.15,75.83,77.21,6.8,0.0,0.97826,48.93,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,27010,2018-03-12 16:21:45:904
0.8526,-8.349,1.5232,0.9475,-9.7471,-0.5163,-0.4559,-0.5983,0.5739,0.1091,-1.086,0.3681,0.0,-17.85,32.4,-4.05,193.14,82.86,-87.7,0.0,0.97826,51.095,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,27510,2018-03-12 16:21:46:404
1.2646,-10.2651,-0.5604,-0.838,-9.5803,1.9197,0.3057,3.8249,1.3493,-0.2014,1.2272,-0.547,0.0,-12.3,21.15,-15.15,104.05,77.67,23.58,0.0,0.97826,53.35,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,28011,2018-03-12 16:21:46:905
-0.2826,-9.7669,-0.5844,0.4637,-9.7731,-0.6642,2.1576,-0.7177,1.8474,-0.8454,-0.4154,-0.1028,0.0,-19.65,19.5,-6.6,87.22,85.0,17.35,0.0,0.97824,45.833,35.77282,-78.67791,263.55,NaN,,,69.977425,,2 / 19,28510,2018-03-12 16:21:47:404
-2.304,-6.3612,0.9101,-1.01,-9.7098,0.9324,-0.7143,4.7756,3.2784,-0.9477,1.0978,0.9476,0.0,-26.4,23.4,-4.35,257.45,87.38,-156.46,0.0,0.97826,52.417,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 18,29010,2018-03-12 16:21:47:904
2.7351,-6.1265,2.6633,0.5349,-9.7791,0.504,1.9596,3.639,0.0993,0.3035,-0.8181,-1.5632,0.0,-11.85,38.85,-12.9,90.04,79.82,23.92,0.0,0.97825,49.201,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 18,29510,2018-03-12 16:21:48:404
-3.8751,-5.9444,-9.8962,0.7627,-9.687,1.3229,2.4336,-9.345,-12.0848,-0.0289,3.1996,0.6291,0.0,-13.35,41.4,-6.6,278.46,82.57,-139.26,0.0,0.97824,52.974,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,30010,2018-03-12 16:21:48:904
6.0019,-8.579,3.9087,-0.2162,-9.6866,1.5142,7.0491,1.9692,-2.1885,-0.8736,-0.8751,-1.1957,0.0,-2.85,42.9,-13.05,152.14,79.13,-2.13,0.0,0.97824,52.524,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,30510,2018-03-12 16:21:49:404
6.1025,-12.3487,-5.384,1.3648,-9.7076,-0.2645,9.6457,-17.5967,2.9478,0.148,1.0797,0.0389,0.0,-13.5,56.25,-4.65,265.16,81.21,-119.98,0.0,0.97824,49.138,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,31010,2018-03-12 16:21:49:904
8.0904,-19.7158,-4.8044,-0.3007,-9.5443,2.2328,9.5572,3.2794,-5.8891,-0.4134,0.0038,0.3526,0.0,11.55,54.6,-26.7,221.01,79.42,-3.5,0.0,0.97823,54.524,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,31510,2018-03-12 16:21:50:404
-1.643,-6.7971,2.3184,1.2221,-9.7299,0.0737,-0.0255,1.7524,-2.5597,1.1344,-0.3802,-0.3371,0.0,-1.2,51.15,-25.35,293.96,82.42,-102.1,0.0,0.97824,50.867,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,32010,2018-03-12 16:21:50:904
-2.4046,-13.6804,1.4897,0.2712,-9.519,2.3421,-2.7077,-2.1266,0.6194,-0.2515,0.2861,-0.4857,0.0,3.9,31.5,-31.2,190.87,73.04,0.18,0.0,0.97825,55.163,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,32510,2018-03-12 16:21:51:404
-0.1629,-7.9706,1.8106,1.4274,-9.684,0.5951,-2.3039,-0.9022,1.146,-0.5059,-1.2207,-0.0575,0.0,5.85,35.1,-16.35,255.7,78.19,-30.37,0.0,0.97825,50.13,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,33010,2018-03-12 16:21:51:904
-0.3066,-9.1154,3.2189,-0.5729,-9.605,1.8936,2.6567,1.4333,-0.0922,0.5929,1.5442,0.9173,0.0,-12.9,23.4,0.15,56.21,78.36,16.83,0.0,0.97827,49.612,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,33510,2018-03-12 16:21:52:404
-0.4455,-8.3059,0.9245,-1.0185,-9.7437,0.4408,4.2973,-1.1829,0.7921,-0.9358,1.2416,-0.0388,0.0,-5.55,19.65,-3.45,38.1,83.5,66.6,0.0,0.97826,47.183,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,34010,2018-03-12 16:21:52:904
1.461,-9.24,0.297,0.3836,-9.7991,0.0048,0.6902,-0.172,0.7767,-0.0069,0.9268,0.0097,0.0,-5.4,19.05,1.95,153.99,87.76,-89.28,0.0,0.97826,51.061,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,34510,2018-03-12 16:21:53:404
-1.1927,-9.695,1.0873,-0.8208,-9.6386,1.6105,0.2598,0.4349,-0.1783,0.0235,0.9465,-0.2481,0.0,-6.45,18.0,-0.9,48.56,79.38,27.01,0.0,0.97826,44.986,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,35010,2018-03-12 16:21:53:904
0.4072,-9.2591,0.2491,-0.3974,-9.7933,0.3234,1.2711,-0.1435,-0.3912,-0.2055,0.6525,-0.3115,0.0,-7.5,19.5,-0.9,41.38,87.01,50.87,0.0,0.97825,51.456,35.77282,-78.67791,263.55,NaN,,,69.977425,,1 / 19,35510,2018-03-12 16:21:54:404
1.5041,-9.9106,0.6562,0.4925,-9.7913,-0.2433,0.2824,0.3316,0.9052,0.0858,0.6738,1.0E-4,0.0,-7.65,18.15,5.55,168.22,86.79,-116.29,0.0,0.97824,47.181,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 18,36010,2018-03-12 16:21:54:904
1.1688,-9.7525,0.024,0.9654,-9.7582,0.1229,0.1558,0.159,0.0569,0.0464,-0.1875,0.0389,0.0,-7.05,19.8,6.9,117.33,84.3,-82.75,0.0,0.97824,43.117,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 18,36510,2018-03-12 16:21:55:404
1.1017,-9.8866,0.8526,0.5707,-9.7874,0.2274,0.4919,-0.0042,0.4541,-0.2109,-0.2402,0.0448,0.0,-5.7,16.65,6.15,106.31,86.41,-68.27,0.0,0.97823,45.39,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,37011,2018-03-12 16:21:55:905
0.7568,-9.1633,0.1198,0.1353,-9.8052,-0.0983,0.806,0.152,0.006,0.2451,0.0522,0.1162,0.0,-7.2,17.55,2.7,193.35,89.02,-126.01,0.0,0.97821,46.386,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,37511,2018-03-12 16:21:56:405
-0.4742,-9.4699,1.5663,-0.7894,-9.6686,1.4369,0.1809,0.5532,-0.1302,-0.025,-0.2418,-0.0058,0.0,-7.05,16.65,3.3,28.18,80.38,28.78,0.0,0.97822,47.558,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,38010,2018-03-12 16:21:56:904
-0.0623,-10.4567,1.2215,-0.3973,-9.747,1.0046,0.1623,0.1602,-0.0212,-0.0639,-0.2253,-0.0479,0.0,-9.3,15.45,5.1,40.73,84.11,14.75,0.0,0.97823,48.168,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,38511,2018-03-12 16:21:57:405
-0.1868,-9.6615,1.0586,-0.5308,-9.7292,1.1095,0.3112,0.1363,-0.0346,0.0049,6.0E-4,0.0182,0.0,-9.6,15.9,4.5,34.13,82.9,23.8,0.0,0.97824,48.199,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,39010,2018-03-12 16:21:57:904
-0.2826,-9.6807,1.1496,-0.502,-9.7247,1.1615,0.1961,0.0592,-0.0332,0.0464,-0.0149,0.007,0.0,-7.8,16.95,5.25,27.92,82.85,24.22,0.0,0.97824,50.009,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,39510,2018-03-12 16:21:58:404
-0.364,-9.6807,1.2646,-0.458,-9.7197,1.2195,0.1484,0.1215,0.0283,0.0022,-0.0405,-0.0074,0.0,-7.2,15.0,6.3,23.29,82.41,21.41,0.0,0.97824,44.534,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,40010,2018-03-12 16:21:58:904
-0.182,-9.7429,1.164,-0.474,-9.7064,1.3157,0.4207,0.1172,-0.0523,0.007,-0.163,0.0246,0.0,-7.5,15.3,6.9,24.44,81.8,19.81,0.0,0.97823,54.0,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,40511,2018-03-12 16:21:59:405
-0.1054,-9.7669,1.3508,-0.4428,-9.7071,1.3217,0.4567,0.0288,0.0322,-0.0085,-0.0341,-5.0E-4,0.0,-8.1,12.45,6.9,26.47,81.9,18.5,0.0,0.97824,49.117,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,41010,2018-03-12 16:21:59:904
-0.3114,-9.7477,1.2789,-0.4798,-9.7051,1.3235,0.1948,-0.0109,-0.0563,-0.0015,-0.0122,0.0171,0.0,-8.7,14.4,7.05,28.2,81.74,19.39,0.0,0.97824,46.501,35.77282,-78.67791,263.55,NaN,,,69.977425,,0 / 19,41510,2018-03-12 16:22:00:404
